Id_Makanan,Nama_Makanan,Kalori,Protein(g),Lemak(g),Sodium(mg),Alamat Web Nutrisi,Alamat Web Resep,Kering / Kuah,Manis / Asin,Pedas / Tidak,Vegetarian / Seafood / Daging ,Halal / Tidak
27,Roti Kismis Panggang (1 Porsi),71,"2,06","1,15",102,"https://www.fatsecret.co.id/kalori-gizi/umum/roti-kismis-panggang?portionid=12562&portionamount=1,000",https://cookpad.com/id/resep/882595-roti-panggang-kismis-kayu-manis?ref=search&search_term=roti%20panggang%20kismis,Kering,Manis,Tidak,Vegetarian,Halal
28,Lele Goreng (100 g),105,"18,47","2,85",50,https://www.fatsecret.co.id/kalori-gizi/umum/lele-goreng,https://cookpad.com/id/resep/6088850-bumbu-dasar-lele-goreng-1-kg,Kering,Asin,Tidak,Seafood,Halal
29,Salmon Panggang (100 g),171,"23,97","7,56",467,https://www.fatsecret.co.id/kalori-gizi/umum/ikan-salmon-panggang,https://www.masakapahariini.com/resep/resep-ikan-salmon-panggang-jepang/,Kering,Asin,Tidak,Seafood,Halal
30,Mangut Lele (1 Porsi),204,"15,33","12,76",335,https://www.fatsecret.co.id/kalori-gizi/umum/mangut-lele,https://www.masakapahariini.com/resep/resep-mangut-lele-bumbu-pedas/,Kuah,Asin,Pedas,Seafood,Halal
31,Salad Kentang (1 Mangkok),358,"6,7","20,5",1322,"https://www.fatsecret.co.id/kalori-gizi/umum/salad-kentang?portionid=34476&portionamount=1,000",https://cookpad.com/id/resep/16909673-salad-sayur-kentang?ref=search&search_term=salad%20kentang,Kering,Manis,Tidak,Vegetarian,Halal
32,Bakso Ayam (1 Porsi),174,"20,94","6,07",477,"https://www.fatsecret.co.id/kalori-gizi/umum/bakso-ayam?portionid=570398&portionamount=1,000",https://endeus.tv/resep/bakso-ayam-blender-yang-kenyal-dan-mudah-dibuat,Kuah,Asin,Tidak,Daging,Halal
33,Daging Sapi Giling (100 g),276,"25,35","18,58",400,"https://www.fatsecret.co.id/kalori-gizi/umum/daging-sapi-giling?portionid=50087&portionamount=100,000",https://www.briliofood.net/resep/13-resep-olahan-daging-giling-pedas-nikmat-praktis-dan-bikin-nagih-220616l.html,Kering,Asin,Tidak,Daging,Halal
34,Sup Sayur (100 g),72,2.12,"1,93",827,https://www.fatsecret.co.id/kalori-gizi/umum/sup-sayur-vegetarian-(disiapkan-dengan-air),https://cookpad.com/id/resep/1465145-sayur-sop-sederhana,Kuah,Asin,Tidak,Vegetarian,Halal
35,Salad Buah (1 cup - 95 g),54,0.63,0.81,5,https://www.fatsecret.co.id/kalori-gizi/umum/salad-buah,https://www.astronauts.id/blog/sudah-pasti-lezat-ini-cara-membuat-salad-buah-untuk-diet/,Kering,Manis,Tidak,Vegetarian,Halal
36,Sandwich Salad Tuna (1 Porsi),287,19.01,7.17,783,https://www.fatsecret.co.id/kalori-gizi/umum/tuna-salad-sandwich,https://www.fimela.com/food/read/4721210/resep-sandwich-tuna-untuk-diet,Kering,Asin,Pedas,Seafood,Halal
